name_clean,CPU_Cores
REFERENCES:GET_IMGT,1
REFERENCES:GET_KOURAMI,1
REFERENCES:BUILD_KOURAMI,1
REFERENCES:KOURAMI_DOWNLOAD_HS38NOALTDH,6
REFERENCES:BWA_INDEX_KOURAMI,4
REFERENCES:BUILD_BWAKIT,4
REFERENCES:BWA_INDEX_BWAKIT,4
REFERENCES:HLA_LA_REFERENCE_DOWNLOAD,1
REFERENCES:HLA_LA_REFERENCE_PREPARE,4
REFERENCES:BWA_INDEX_HLA_LA,4
