sample,aln,pass_fail_wes
HG00115,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/HG00115.final.cram,PASS
NA11831,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA11831.final.cram,PASS
NA12750,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA12750.final.cram,PASS
HG00251,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/HG00251.final.cram,PASS
NA11930,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA11930.final.cram,PASS
HG00240,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/HG00240.final.cram,PASS
NA12716,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA12716.final.cram,PASS
NA20519,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA20519.final.cram,PASS
NA20540,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA20540.final.cram,PASS
NA12760,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA12760.final.cram,PASS
NA20581,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA20581.final.cram,PASS
NA20525,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA20525.final.cram,PASS
NA12144,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA12144.final.cram,PASS
NA20800,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA20800.final.cram,PASS
HG00096,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/HG00096.final.cram,PASS
NA20761,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA20761.final.cram,PASS
NA20753,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA20753.final.cram,PASS
NA11881,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA11881.final.cram,PASS
HG00437,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/HG00437.final.cram,FAIL
HG00610,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/HG00610.final.cram,FAIL
HG01256,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/HG01256.final.cram,FAIL
NA12275,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA12275.final.cram,FAIL
NA18537,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA18537.final.cram,FAIL
NA18550,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA18550.final.cram,FAIL
NA18552,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA18552.final.cram,FAIL
NA18570,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA18570.final.cram,FAIL
NA18573,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA18573.final.cram,FAIL
NA18605,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA18605.final.cram,FAIL
NA18943,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA18943.final.cram,FAIL
NA18945,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA18945.final.cram,FAIL
NA18965,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA18965.final.cram,FAIL
NA18966,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA18966.final.cram,FAIL
NA18980,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA18980.final.cram,FAIL
NA18987,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA18987.final.cram,FAIL
NA19007,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA19007.final.cram,FAIL
NA19084,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA19084.final.cram,FAIL
NA19131,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA19131.final.cram,FAIL
NA19726,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA19726.final.cram,FAIL
HG01124,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/HG01124.final.cram,FAIL
HG01389,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/HG01389.final.cram,FAIL
NA11832,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA11832.final.cram,FAIL
NA11840,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA11840.final.cram,FAIL
NA12005,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA12005.final.cram,FAIL
NA12058,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA12058.final.cram,FAIL
NA12287,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA12287.final.cram,FAIL
NA19036,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA19036.final.cram,FAIL
NA19116,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA19116.final.cram,FAIL
NA19222,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA19222.final.cram,FAIL
NA19223,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA19223.final.cram,FAIL
NA19463,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA19463.final.cram,FAIL
NA19660,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA19660.final.cram,FAIL
NA19719,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA19719.final.cram,FAIL
NA19762,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA19762.final.cram,FAIL
NA20527,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA20527.final.cram,FAIL
NA20818,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA20818.final.cram,FAIL
HG00698,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/HG00698.final.cram,FAIL
NA07000,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA07000.final.cram,FAIL
NA10847,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA10847.final.cram,FAIL
NA12156,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA12156.final.cram,FAIL
NA12873,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA12873.final.cram,FAIL
NA18563,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA18563.final.cram,FAIL
NA18606,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA18606.final.cram,FAIL
NA18619,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA18619.final.cram,FAIL
NA18969,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA18969.final.cram,FAIL
NA18999,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA18999.final.cram,FAIL
NA19473,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA19473.final.cram,FAIL
NA20521,/data3/kryan/nextflow-cache/1000-genomes-crams-wgs-30x/NA20521.final.cram,FAIL
